NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
AROEIRAS,PB,447,451.0391498881432,469.2930648769575,479.1384787472036,464.978970917226,551.4988814317674,1.0726902173913044,0
ARRAIAS,TO,350,439.94971428571426,459.216,469.7991428571429,453.82,484.9714285714286,1.4168865435356202,0
ARROIO DO MEIO,RS,116,531.321551724138,560.880172413793,557.0689655172414,585.1336206896551,664.1379310344828,3.6441176470588235,1
ARROIO GRANDE,RS,278,475.2147482014389,495.5255395683453,524.9971223021583,495.74316546762594,546.1870503597122,1.7891891891891891,2
ARTUR NOGUEIRA,SP,567,499.71640211640215,520.4855379188713,537.5409171075838,540.4227513227513,569.1710758377425,2.4565846599131693,1
ARUJÁ,SP,1287,492.93154623154624,524.9586635586636,538.4047397047398,529.7924630924631,566.2470862470863,2.5128249566724437,1
ASSARÉ,CE,570,462.3498245614035,479.1587719298246,497.83649122807014,492.2150877192982,539.1578947368421,0.9847161572052402,0
ASSAÍ,PR,348,486.6945402298851,526.8235632183909,532.7741379310345,528.6721264367816,556.551724137931,2.0589147286821707,2
ASSIS,SP,1160,510.9706034482759,540.1718965517241,552.5894827586208,559.096724137931,621.0689655172414,2.9527979495941907,1
ASSIS CHATEAUBRIAND,PR,527,498.16394686907023,524.0586337760911,529.6256166982922,541.0578747628083,591.9165085388994,2.6573660714285716,1
ASTORGA,PR,362,490.8436464088398,520.4488950276243,529.4701657458564,525.1580110497238,574.7513812154696,2.411910669975186,2
ATALAIA,AL,462,447.9287878787879,464.64264069264067,484.96623376623376,453.6257575757576,548.1385281385282,1.1710963455149501,0
ATIBAIA,SP,1497,522.8490313961256,551.8352705410822,556.6268537074149,575.4400133600534,616.0721442885772,3.2752841737102885,1
AUGUSTINÓPOLIS,TO,555,451.13945945945943,470.25765765765766,488.9816216216216,462.8899099099099,535.1351351351351,1.3404592240696753,0
AUGUSTO CORRÊA,PA,402,445.99651741293536,459.1858208955224,476.47213930348255,445.70099502487557,524.8258706467661,1.0451388888888888,0
AURIFLAMA,SP,261,508.2421455938698,526.7517241379311,540.500766283525,549.188122605364,607.3563218390805,2.4100985221674875,1
AURORA,CE,564,469.8400709219858,486.4748226950354,494.7652482269503,493.73687943262405,592.4468085106383,1.1026785714285714,2
AURORA DO PARÁ,PA,189,448.1566137566138,463.1486772486773,470.6206349206349,452.505291005291,490.8994708994709,1.181547619047619,0
AUTAZES,AM,156,438.42564102564097,454.9608974358974,460.4608974358974,461.9128205128205,485.7692307692308,1.0199757869249395,0
AVARÉ,SP,854,519.9530444964871,548.68981264637,555.1872365339578,573.72962529274,609.695550351288,3.0164305949008496,1
AÇAILÂNDIA,MA,2138,465.69948550046774,480.68891487371377,500.6856875584659,482.02586529466794,547.1094480823199,1.571911196911197,0
AÇU,RN,1615,467.2045820433437,483.6979566563467,499.20916408668734,486.262786377709,567.405572755418,1.3691709844559585,2
BACABAL,MA,2428,461.2279654036244,480.213097199341,496.3716639209225,475.03682042833606,554.159802306425,1.2860506840098678,0
BACURI,MA,382,441.5890052356021,448.51675392670154,465.870942408377,443.76937172774865,521.5183246073299,0.9678321678321679,0
BAEPENDI,MG,286,489.2555944055944,518.505944055944,534.317132867133,533.9157342657343,607.7622377622378,2.098605577689243,1
BAGÉ,RS,1704,475.9172535211268,507.9524061032864,527.5656690140845,502.4973004694836,531.631455399061,2.1128598331988164,2
BAIXA GRANDE,BA,562,464.9508896797153,484.61263345195727,497.96814946619213,480.2437722419929,564.5195729537367,1.1727272727272726,2
BAIXO GUANDU,ES,280,504.93607142857144,524.9096428571429,525.5214285714286,546.0271428571428,608.2142857142857,1.9353932584269662,1
BAIÃO,PA,551,439.9397459165154,451.89764065335754,465.2733212341198,450.5613430127041,549.3647912885663,1.0227703984819734,0
BALNEÁRIO CAMBORIÚ,SC,1262,513.2276545166403,542.4755942947702,551.5256735340729,558.7139461172742,598.7955625990492,3.0748784440842787,1
BALSAS,MA,2461,458.1516456724908,474.442096708655,489.4987809833401,468.6223892726534,530.6542056074767,1.6547672336615935,0
BAMBUÍ,MG,394,507.5175126903553,531.1560913705583,538.2786802030456,543.4649746192894,612.1827411167512,2.2633093525179855,1
BANABUIÚ,CE,235,449.70553191489364,463.7459574468085,487.78723404255317,471.2672340425532,531.063829787234,1.0032258064516129,0
BANANEIRAS,PB,1006,456.8605367793241,476.3897614314115,493.24980119284294,473.80437375745527,559.8608349900596,1.2208811104405553,0
BANDEIRANTES,PR,638,478.78401253918497,500.9576802507837,517.4012539184953,507.48385579937303,556.3949843260189,2.209342560553633,2
BARAÚNA,RN,447,456.50917225950786,474.8852348993289,490.2646532438479,474.979418344519,550.2013422818792,1.359039190897598,0
BARBACENA,MG,2963,511.53887951400606,542.8718528518393,546.8915963550455,559.2761390482618,616.0445494431319,2.3729625273063353,1
BARBALHA,CE,1357,487.81459100958,506.63360353721447,517.2526897568165,515.2447310243183,606.1901252763449,1.5610850897736144,2
BARCARENA,PA,2348,466.71763202725725,482.75583475298123,498.464863713799,473.37180579216357,535.2640545144804,1.5187199330683958,0
BARCELOS,AM,115,465.6486956521739,483.8460869565218,480.61652173913046,473.4478260869565,511.4782608695652,1.3541666666666667,0
BARRA,BA,714,447.87941176470594,462.04537815126054,479.499299719888,454.9071428571429,520.1960784313726,1.1339150227617603,0
BARRA BONITA,SP,528,516.1818181818181,535.1274621212121,549.5973484848486,556.2740530303031,623.6363636363636,2.688436830835118,1
BARRA DA ESTIVA,BA,941,464.3888416578109,479.41509032943674,496.73219978746016,483.31328374070137,554.8565356004251,1.2388959390862944,0
BARRA DE GUABIRABA,PE,189,450.3915343915344,469.0878306878307,483.9121693121693,453.6015873015873,563.7037037037037,1.0121107266435987,0
BARRA DE SÃO FRANCISCO,ES,497,484.47344064386317,509.5724346076459,514.5583501006037,512.1901408450705,570.8651911468813,1.9735729386892178,2
BARRA DO BUGRES,MT,374,459.2558823529412,484.9529411764706,498.80294117647054,475.4957219251337,515.9358288770053,1.9715346534653466,0
BARRA DO CHOÇA,BA,449,466.86770601336303,488.1748329621381,501.8937639198218,472.8316258351893,549.7550111358574,1.2984496124031009,2
BARRA DO CORDA,MA,931,458.7691729323308,479.5548872180451,497.2453276047261,474.52706766917294,534.1138560687433,1.2748190279214064,0
BARRA DO GARÇAS,MT,1313,480.0126428027418,501.31546077684686,515.6859862909367,500.44409748667175,545.4226961157655,2.015204678362573,2
BARRA DO PIRAÍ,RJ,675,506.43792592592587,539.1917037037038,545.0297777777778,548.6162962962962,638.5777777777778,2.307370820668693,1
BARRA DO TURVO,SP,53,480.266037735849,502.41132075471694,531.1754716981131,516.933962264151,575.8490566037735,1.4166666666666667,2
BARRA MANSA,RJ,1360,501.9558088235294,533.8721323529412,541.7461029411764,543.8454411764707,637.5294117647059,2.4766970618034447,1
BARRAS,PI,1568,449.25267857142853,465.0921556122449,477.440306122449,459.056568877551,522.6913265306123,0.9435994930291508,0
BARREIRA,CE,358,453.95195530726255,478.7737430167598,501.36480446927374,494.14608938547485,537.9888268156425,1.116551724137931,0
BARREIRAS,BA,5196,481.1379522709776,495.9027906081601,511.9038876058507,496.0132409545804,593.8183217859893,1.8607108549471663,2
