MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,RENDA_FAMILIAR_SM_MEDIA
ALTO ALEGRE,RR,251,444.25776892430275,518.9597609561753,455.7438247011952,413.6179282868526,484.6215139442231,463.4401593625498,1.1848475241338887
ALTO DO RODRIGUES,RN,820,457.9543902439024,538.6143902439024,482.89414634146345,433.4687804878049,512.4146341463414,485.069268292683,1.3794147325933401
ALTO PARAÍSO,RO,273,460.2802197802198,537.0450549450549,473.0443223443224,427.67289377289376,460.73260073260076,471.75501831501833,1.3742774566473988
ALTO SANTO,CE,564,442.8822695035461,523.8675531914894,455.71932624113475,425.4948581560284,479.7163120567376,465.5360638297872,0.8072183098591549
ALTOS,PI,2252,455.0955150976909,532.1579040852575,475.4871225577265,433.5390319715808,501.6460923623446,479.58513321492,1.1340015570260802
ALVARÃES,AM,161,424.92360248447204,511.17950310559,455.96583850931677,408.8975155279503,499.87577639751555,460.1684472049689,1.2569767441860464
ALVINÓPOLIS,MG,732,476.9275956284153,554.9256830601092,500.5900273224044,470.02691256830605,518.3333333333334,504.1607103825137,1.6186806411837238
ALVORADA,RS,4561,470.1222977417233,559.8996491997368,510.149704012278,454.38671344003507,523.0999780749836,503.5316684937514,2.0886021323120345
ALVORADA D'OESTE,RO,712,462.09915730337076,545.0801966292134,480.3508426966292,438.0200842696629,493.02106741573033,483.7142696629213,1.6387299771167048
ALVORADA DO SUL,PR,699,481.67553648068673,555.0105865522174,497.6490701001431,462.53733905579395,533.6194563662375,506.0983977110157,2.4061326658322906
ALÉM PARAÍBA,MG,1155,480.41090909090906,564.7251948051947,514.4717748917749,487.44735930735925,550.5991341991343,519.5308744588745,2.0744949494949494
AMAMBAI,MS,1246,466.7043338683788,542.8246388443017,486.34422150882824,449.35240770465487,499.31861958266455,488.90884430176567,1.5147492625368733
AMAPÁ,AP,381,440.49107611548555,510.78188976377953,454.86614173228344,410.1023622047244,489.29133858267716,461.10656167979005,1.2048054919908466
AMARANTE,PI,863,442.2314020857474,518.452607184241,462.1317497103129,421.1936268829664,488.7369640787949,466.54926998841256,0.917561761546724
AMARANTE DO MARANHÃO,MA,666,447.79114114114117,524.6524024024025,462.6804804804805,425.9614114114114,475.13513513513516,467.2441141141141,1.1576319543509273
AMARGOSA,BA,1774,458.6226606538895,537.597801578354,483.10715896279595,430.15028184892896,508.45039458850056,483.58565952649377,1.0121471540953262
AMERICANA,SP,4486,505.13751671868033,580.1977931341952,535.0381631743202,508.06484618814085,562.5057958091842,538.1888230049042,3.5345614295596457
AMONTADA,CE,1399,440.00736240171557,510.5544674767691,453.2617583988563,435.12508934953536,473.80986418870623,462.5517083631165,0.8246681415929203
AMPARO,SP,2031,505.0979812900049,579.4186607582471,530.1516001969472,504.03682914820286,564.5888724766126,536.6587887740028,2.897732135216089
AMPÉRE,PR,731,476.19603283173734,564.2768809849522,503.84117647058827,478.5767441860465,530.266757865937,510.63151846785223,2.0823057953144266
AMÉLIA RODRIGUES,BA,689,465.2119013062409,551.9105950653121,492.95732946298983,442.0417997097242,534.9201741654572,497.4083599419449,1.3696022727272728
ANAGÉ,BA,599,448.62520868113523,536.9886477462437,475.7081803005008,428.59465776293825,509.9031719532554,479.96397328881466,0.9764221556886228
ANAJATUBA,MA,318,444.47547169811327,531.2072327044025,473.02578616352207,429.4858490566038,494.4025157232704,474.5193710691824,1.2140957446808511
ANAJÁS,PA,337,434.0317507418398,523.0370919881306,460.30979228486643,414.87299703264097,476.379821958457,461.72629080118696,0.8235849056603773
ANAMÃ,AM,96,432.5958333333333,513.790625,462.6645833333334,417.73125,498.75,465.1064583333333,1.110655737704918
ANANINDEUA,PA,22699,473.1113088682321,555.1188774835896,501.0222124322657,448.56301158641355,542.5068945768536,504.0644609894709,1.5657488834612285
ANANÁS,TO,544,439.06213235294115,519.6674632352941,459.07316176470584,426.5882352941176,479.70588235294116,464.8193749999999,1.3338815789473684
ANASTÁCIO,MS,729,452.7695473251029,529.4008230452675,474.14663923182445,425.62153635116596,483.6460905349794,473.1169272976681,1.31912209889001
ANCHIETA,ES,1670,485.7319161676647,565.1062275449102,506.7436526946108,478.3505988023952,536.7664670658683,514.5397724550899,1.9485535154316382
ANDRADAS,MG,1101,495.46866485013624,576.0415077202542,520.5708446866485,496.1462306993642,553.3151680290645,528.3084831970936,2.3120644599303137
ANDRADINA,SP,1998,487.209009009009,561.0388888888889,511.62472472472473,475.1183183183183,546.5365365365366,516.3054954954955,2.4570820820820822
