COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
1301308,AM,173,428.964161849711,457.65144508670517,476.9115606936416,463.3838150289017,511.90751445086704,467.76369942196527,CODAJÁS,0.764367816091954,0
1301407,AM,266,443.96390977443605,476.5575187969925,493.40902255639094,481.56315789473683,564.3609022556391,491.9709022556391,EIRUNEPÉ,1.2049608355091384,0
1301506,AM,140,433.0842857142857,454.47357142857146,475.0892857142857,464.6292857142857,511.42857142857144,467.741,ENVIRA,1.206806282722513,0
1301605,AM,129,438.9527131782946,463.2317829457364,477.6906976744186,453.8434108527132,531.0077519379845,472.94527131782945,FONTE BOA,1.0332446808510638,0
1301704,AM,880,435.03670454545454,469.4689772727273,488.5902272727273,467.71329545454546,516.8636363636364,475.5345681818182,HUMAITÁ,1.2209257842387147,0
1301803,AM,101,425.2475247524753,447.1762376237624,471.5138613861386,458.13861386138615,553.4653465346535,471.10831683168317,IPIXUNA,1.0812101910828025,0
1301852,AM,666,438.0285285285285,474.29879879879877,491.17972972972973,462.9303303303303,531.0510510510511,479.49768768768774,IRANDUBA,1.0069845857418112,0
1301902,AM,2058,439.2062196307094,472.0637512147716,490.3042759961127,468.6919339164237,529.6793002915452,479.98909620991253,ITACOATIARA,0.9900818639798489,0
1301951,AM,57,420.95964912280704,435.79473684210524,466.2736842105263,458.4280701754386,498.94736842105266,456.080701754386,ITAMARATI,1.8406593406593406,0
1302108,AM,52,423.69615384615383,448.95384615384614,464.4519230769231,452.6,484.2307692307692,454.7865384615384,JAPURÁ,0.86,0
1302306,AM,98,419.2387755102041,455.0448979591837,478.28979591836736,441.3081632653061,481.2244897959184,455.021224489796,JUTAÍ,0.8742937853107344,0
1302405,AM,319,435.1846394984326,460.8764890282132,483.82852664576797,467.95109717868337,522.3824451410659,474.04463949843256,LÁBREA,1.3417056074766356,0
1302504,AM,1399,440.5457469621158,477.2936383130808,494.06526090064335,471.75025017869905,525.2466047176555,481.78030021443885,MANACAPURU,1.063953488372093,0
1302553,AM,90,419.31777777777774,454.8,473.77777777777777,450.55,529.1111111111111,465.51133333333325,MANAQUIRI,0.8605769230769231,0
1302603,AM,51692,459.43703667878975,495.1526928731719,512.5715487889809,490.8475005803606,552.1597152364002,502.0336988315406,MANAUS,1.4135637616559074,1
1302702,AM,216,428.575462962963,457.9689814814815,482.00555555555553,467.6449074074074,537.5,474.73898148148146,MANICORÉ,1.0607049608355092,0
1302801,AM,56,422.9321428571429,451.4875,482.53035714285716,460.76071428571424,503.57142857142856,464.25642857142856,MARAÃ,1.246875,0
1302900,AM,429,442.3410256410256,474.8477855477856,494.306993006993,470.1773892773893,523.2167832167833,480.97799533799537,MAUÉS,1.0925196850393701,0
1303007,AM,477,424.52117400419286,460.04088050314465,474.6599580712788,457.85136268343814,520.041928721174,467.4230607966457,NHAMUNDÁ,0.8672337278106509,0
1303106,AM,177,430.90282485875707,463.16327683615816,479.67118644067796,466.3807909604519,522.9378531073446,472.6111864406779,NOVA OLINDA DO NORTE,0.9516369047619048,0
1303205,AM,102,431.26274509803926,477.3872549019608,486.4470588235294,479.43823529411765,526.0784313725491,480.1227450980393,NOVO AIRÃO,1.1666666666666667,0
1303304,AM,195,423.6184615384616,453.48410256410256,468.66564102564104,454.04102564102567,509.64102564102564,461.89005128205133,NOVO ARIPUANÃ,0.8673285198555957,0
1303403,AM,3108,438.4055662805663,470.85714285714283,485.87184684684684,463.2561132561133,527.6254826254826,477.20323037323044,PARINTINS,0.8274124094734782,0
1303502,AM,95,423.88947368421054,444.8989473684211,475.67052631578946,449.31789473684205,494.7368421052632,457.7027368421053,PAUINI,1.1809701492537314,0
1303536,AM,385,450.4288311688312,475.27818181818185,496.57766233766233,475.6987012987013,551.4805194805194,489.8927792207793,PRESIDENTE FIGUEIREDO,1.1903703703703703,0
1303569,AM,328,441.36097560975605,473.59969512195124,497.07591463414633,464.2567073170732,528.9634146341464,481.0513414634146,RIO PRETO DA EVA,1.175268817204301,0
1303601,AM,103,413.79708737864075,461.23592233009714,479.20970873786405,445.4757281553398,514.1747572815534,462.77864077669904,SANTA ISABEL DO RIO NEGRO,1.076219512195122,0
1303700,AM,219,410.9529680365297,437.87945205479457,453.2146118721461,439.72557077625567,479.7260273972603,444.29972602739724,SANTO ANTÔNIO DO IÇÁ,0.8033854166666666,0
1303809,AM,356,439.1735955056179,471.4056179775281,480.39044943820227,468.0699438202247,529.2696629213483,477.6618539325843,SÃO GABRIEL DA CACHOEIRA,1.5029118136439268,0
1303908,AM,231,419.61168831168834,448.06277056277054,464.2748917748918,455.43290043290045,492.46753246753246,455.96995670995676,SÃO PAULO DE OLIVENÇA,0.883125,0
1304005,AM,176,433.49659090909086,462.72784090909096,485.94602272727275,468.76534090909087,515.4545454545455,473.2780681818182,SILVES,1.0287539936102237,0
1304062,AM,556,435.8543165467626,460.4546762589928,479.92913669064745,460.33147482014385,502.9136690647482,467.896654676259,TABATINGA,1.138671875,0
1304104,AM,135,432.84814814814814,457.63111111111107,486.64148148148155,469.73703703703706,530.5185185185185,475.4752592592593,TAPAUÁ,0.7967980295566502,0
1304203,AM,636,447.6523584905661,476.85676100628933,493.71273584905657,476.86682389937107,552.0440251572327,489.4265408805031,TEFÉ,1.4140225179119754,0
1304237,AM,124,421.5766129032258,442.3564516129032,456.8282258064516,445.43951612903226,464.6774193548387,446.17564516129033,TONANTINS,0.7360515021459227,0
1304260,AM,54,407.8962962962963,447.3740740740741,464.56481481481484,438.7203703703704,447.037037037037,441.1185185185185,UARINI,0.915,0
1304302,AM,271,421.49778597785973,449.74649446494465,462.3328413284133,451.1852398523985,519.7047970479705,460.89343173431735,URUCARÁ,0.7882462686567164,0
1304401,AM,130,419.2007692307692,452.1523076923077,472.18461538461537,456.78076923076924,511.6923076923077,462.40215384615385,URUCURITUBA,0.9659685863874345,0
1400050,RR,97,453.20721649484534,473.01134020618554,481.5412371134021,467.1721649484536,496.9072164948454,474.36783505154636,ALTO ALEGRE,1.5363247863247864,0
1400100,RR,7688,471.77200832466184,505.41220083246617,516.6344172736732,504.09275494276795,558.9880332986472,511.37988293444323,BOA VISTA,1.7193548387096773,1
1400159,RR,30,439.77333333333337,460.52000000000004,474.00333333333333,448.4566666666667,498.6666666666667,464.284,BONFIM,1.711111111111111,0
1400209,RR,131,452.5458015267176,476.4381679389313,493.94045801526715,471.00687022900763,524.5801526717557,483.7022900763359,CARACARAÍ,1.337719298245614,0
1400308,RR,134,436.65820895522387,474.3783582089552,493.0701492537313,462.9365671641791,522.0895522388059,477.82656716417904,MUCAJAÍ,1.2371794871794872,0
1400472,RR,187,451.46791443850265,484.2010695187166,496.1641711229946,478.25935828877004,508.1283422459893,483.6441711229947,RORAINÓPOLIS,1.2539525691699605,0
1400506,RR,155,443.24064516129033,461.02967741935487,476.54709677419356,466.8748387096775,505.93548387096774,470.72554838709675,SÃO JOÃO DA BALIZA,1.4084699453551912,0
1500107,PA,5024,451.7386743630573,479.8635350318471,492.96626194267515,476.68650477707007,594.4108280254777,499.1331608280254,ABAETETUBA,1.0491121872477804,0
1500206,PA,622,436.43440514469455,471.52636655948555,478.86575562700966,459.78601286173637,551.9292604501608,479.70836012861736,ACARÁ,0.9682230869001297,0
1500404,PA,1103,430.9025385312783,462.66155938349954,478.28413417951043,457.9315503173164,528.6854034451496,471.6930371713508,ALENQUER,0.8875984251968504,0
1500503,PA,277,431.0231046931408,466.13212996389893,476.8184115523466,458.17581227436824,529.6750902527076,472.3649097472924,ALMEIRIM,0.9864130434782609,0
1500602,PA,5018,450.2000996412914,479.3764647269829,496.0153846153847,481.9468114786768,555.1813471502591,492.54402152251896,ALTAMIRA,1.3962389035975704,0
1500701,PA,184,421.8440217391304,456.6586956521739,475.0244565217391,460.3532608695652,520.3260869565217,466.8413043478261,ANAJÁS,1.0577586206896552,0
1500800,PA,16570,471.26290887145444,503.13271575135786,513.8799275799638,495.2307966203983,596.7688593844297,516.0550416415208,ANANINDEUA,1.355208833413346,1
1500909,PA,511,436.9385518590998,473.60469667318984,476.68258317025436,463.25812133072407,568.5714285714286,483.81107632093926,AUGUSTO CORRÊA,0.8630464480874317,0
1501204,PA,729,429.5757201646091,455.303840877915,463.66776406035666,460.1061728395062,551.0013717421125,471.9309739368999,BAIÃO,0.827295918367347,0
1501303,PA,3000,459.88373333333334,487.07939999999996,503.316,481.2466,573.04,500.9131466666666,BARCARENA,1.3439254721796836,1
1501402,PA,57863,476.2991652696888,509.8445949916181,518.5780792561741,505.3893351537252,617.0067227762128,525.4235794894837,BELÉM,1.4741769352750338,1
1501501,PA,1938,460.760165118679,491.3607327141383,502.07074303405574,482.22234262125903,587.0175438596491,504.68630546955626,BENEVIDES,1.127013630731103,1
1501709,PA,3580,448.9027653631285,480.99622905027934,490.63008379888265,476.00896648044693,582.1564245810056,495.7388938547486,BRAGANÇA,1.0220185419300463,0
1501782,PA,735,433.81442176870746,461.7704761904762,480.5761904761905,458.4952380952381,507.0204081632653,468.33534693877556,BREU BRANCO,0.9971014492753624,0
1501808,PA,3497,436.5289104947098,469.3589076351158,481.9861023734629,463.1637689448098,550.986559908493,480.4048498713182,BREVES,0.9838206837239304,0
1501907,PA,649,434.2269645608628,465.58844375963025,474.9938366718028,464.04237288135596,534.1756548536209,474.6054545454546,BUJARU,0.8884820239680427,0
1502103,PA,5035,445.99878848063554,474.02395233366434,482.9328103277061,476.5020655412115,598.6812313803376,495.627769612711,CAMETÁ,0.8692630898513252,0
1502152,PA,986,466.2057809330629,492.51632860040564,509.7796146044625,499.65872210953347,578.1541582150102,509.2629208924949,CANAÃ DOS CARAJÁS,1.8494415807560138,1
1502202,PA,3437,451.01416933372127,481.03799825429155,494.34902531277277,474.2528658713995,575.3855106197265,495.2079138783823,CAPANEMA,1.0990110395584176,0
1502301,PA,1938,444.03818369453046,473.3781217750258,485.4696078431372,472.5182146542828,556.501547987616,486.3811351909185,CAPITÃO POÇO,0.863384484228474,0
1502400,PA,5733,471.55006105006106,504.7653933368219,513.8693528693528,499.3694226408512,634.8543519972092,524.8817163788592,CASTANHAL,1.3865199942668769,1
1502707,PA,1803,442.38602329450913,469.6718801996672,483.5464780920688,473.8198003327787,535.2301719356628,480.9308707709373,CONCEIÇÃO DO ARAGUAIA,1.116959691252144,0
1502756,PA,549,437.10255009107465,472.14371584699455,482.8930783242258,462.38561020036434,533.8069216757741,477.6663752276867,CONCÓRDIA DO PARÁ,0.9824046920821115,0
1502806,PA,503,423.2634194831014,452.02166998011927,467.82703777335985,451.16500994035783,534.7912524850894,465.81367793240554,CURRALINHO,0.8777932960893855,0
1502905,PA,1121,438.4942016057092,469.47082961641394,482.5194469223908,460.4896520963426,554.6476360392506,481.12435325602144,CURUÇÁ,0.8395833333333333,0
1502939,PA,763,448.22948885976405,476.2619921363041,494.09030144167764,481.407994757536,544.4560943643512,488.8891743119266,DOM ELISEU,1.2916213275299238,0
1502954,PA,526,439.0408745247148,463.57205323193915,483.0222433460076,468.2950570342206,515.8555133079848,473.9571482889734,ELDORADO DO CARAJÁS,1.217741935483871,0
1503044,PA,265,434.7588679245283,455.531320754717,471.6792452830189,457.597358490566,526.188679245283,469.1510943396226,FLORESTA DO ARAGUAIA,1.1880664652567976,0
1503093,PA,390,436.56128205128203,477.49,490.614358974359,465.31820512820514,517.2307692307693,477.442923076923,GOIANÉSIA DO PARÁ,1.1697080291970803,0
1503200,PA,1462,442.40095759233924,474.628317373461,485.26149110807114,468.1467852257182,578.7004103967168,489.82759233926134,IGARAPÉ-AÇU,0.8781352235550709,0
1503309,PA,1173,432.9271952259164,460.53043478260867,476.89411764705886,460.8804774083547,557.9369138959931,477.8338277919864,IGARAPÉ-MIRI,0.8988995873452544,0
1503606,PA,1626,448.6669126691267,477.86826568265684,494.29772447724474,482.0452029520295,559.4956949569496,492.4747601476014,ITAITUBA,1.3379107405590975,0
1503705,PA,642,437.05607476635515,459.98473520249223,477.3213395638629,465.0294392523365,535.4205607476636,474.96242990654207,ITUPIRANGA,1.0351690294438387,0
1503804,PA,983,440.8985757884028,470.61312309257374,490.49216683621563,475.32472024415057,541.9735503560529,483.86042726347915,JACUNDÁ,0.9944626743232158,0
1503903,PA,759,438.4750988142292,472.035441370224,482.61976284584983,469.94005270092225,544.3741765480896,481.488906455863,JURUTI,1.035412262156448,0
1504000,PA,710,434.4909859154929,458.32704225352114,470.070985915493,456.0454929577465,536.6478873239437,471.11647887323943,LIMOEIRO DO AJURU,0.8642131979695431,0
1504059,PA,1163,440.7746345657782,466.6467755803955,481.8918314703353,467.7723129836629,546.2080825451419,480.65872742906276,MÃE DO RIO,0.9324871228844739,0
1504208,PA,9151,456.17551087312864,486.7185881324445,501.47747787127093,488.06543547153314,574.2563654245438,501.3386755545842,MARABÁ,1.4904073070535793,1
