MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
ARAIOSES,MA,579,449.84697754749567,501.06373056994823,485.45181347150253,438.88583765112264,493.5405872193437,473.75778929188255,0.9105633802816901
ARAME,MA,514,442.74805447470817,487.74494163424123,476.19027237354084,443.01536964980545,471.67315175097275,464.27435797665373,0.9330434782608695
ARAPIRACA,AL,13149,466.8328466043045,523.590812989581,507.62215377595254,473.1767130580272,544.371739295764,503.11885314472585,1.239706817787544
ARAPOEMA,TO,195,442.3820512820513,486.55538461538464,482.52564102564105,434.7317948717949,478.87179487179486,465.0133333333333,1.2245145631067962
ARAPONGAS,PR,2478,478.36279257465696,537.8983050847457,525.9408393866021,499.27606941081524,534.7409200968523,515.2437853107344,2.437744778067885
ARAPOTI,PR,481,479.30187110187114,530.3586278586279,517.5544698544699,494.82245322245325,517.7962577962578,507.966735966736,2.03839590443686
ARAPUTANGA,MT,744,457.1505376344086,510.9334677419355,499.3608870967742,462.7944892473118,507.8481182795699,487.61749999999995,1.754746835443038
ARARANGUÁ,SC,2167,486.87360406091375,541.0679280110752,526.192662667282,503.8160129210891,541.1259806183664,519.8152376557452,2.3184491978609625
ARARAQUARA,SP,6793,502.1085676431621,559.8326954217576,548.7118062711614,522.2359193287208,574.396290298837,541.4570557927277,2.350555105817046
ARARAS,SP,2782,503.19345794392524,559.7721423436377,548.8531272465851,527.9139108554997,568.8271028037383,541.7119482386772,2.4406718569780854
ARARI,MA,1519,453.60125082290983,504.2976300197498,493.23877551020405,448.40078999341677,513.6747860434497,482.6426464779461,1.069277108433735
ARARIPE,CE,984,456.6358739837398,502.56595528455284,493.8117886178862,452.4872967479675,528.9837398373984,486.8969308943089,0.8398129921259843
ARARIPINA,PE,2888,465.6921745152355,514.0712603878117,503.1951869806094,471.9818213296399,525.4362880886426,496.0753462603878,1.073839340256567
ARARUAMA,RJ,2826,483.3506369426751,545.8589171974522,531.1664543524416,497.9178343949045,559.2816702052371,523.515102618542,1.7928068803752932
ARARUNA,PB,911,457.80878155872665,509.5667398463227,499.9679473106476,459.48090010976944,527.2886937431394,490.8226125137211,0.9759568204121688
ARATUBA,CE,568,459.2517605633803,506.5345070422535,496.75880281690144,454.8742957746479,511.90140845070425,485.86415492957747,0.7415966386554622
ARAUCÁRIA,PR,3974,476.92662304982383,539.8841469552088,527.5005032712633,499.2217413185707,520.9901862103674,512.9046401610469,2.165312341289995
ARAXÁ,MG,2589,501.757551178061,550.7658555426806,540.7570490536887,531.3491309385863,574.2294322132097,539.7718037852453,2.4229329703980946
ARAÇATUBA,SP,4923,494.6262238472476,549.8450132033313,540.7550477351209,516.3939874060533,560.7048547633557,532.4650253910219,2.2770081895800662
ARAÇOIABA DA SERRA,SP,746,478.27734584450405,541.7044235924933,531.291018766756,501.736327077748,534.9597855227883,517.5937801608579,2.0674564796905224
ARAÇUAÍ,MG,2347,464.04657008947595,518.4283766510439,509.9188325521943,471.03097571367704,517.4094588836813,496.1668427780145,1.1616379310344827
ARCOS,MG,1154,497.2959272097054,545.5857019064125,534.6910745233969,526.3368284228769,557.5563258232236,532.2931715771231,2.205469327420547
ARCOVERDE,PE,3842,471.89518479958355,528.8819885476315,516.4536439354503,477.8846434148881,535.8578865174388,506.19466944299836,1.1970915841584158
AREADO,MG,1273,482.4495679497251,538.3271013354281,525.2729772191673,504.172034564022,550.2466614296936,520.0936684996072,1.6613240418118467
AREIA,PB,1022,468.00293542074365,524.0006849315068,498.9299412915851,460.3114481409002,540.9227005870841,498.433542074364,1.0705906148867315
AREIA BRANCA,RN,1920,461.0172395833333,512.28375,499.48062500000003,461.25437500000004,519.9005208333333,490.7873020833334,1.2178098676293623
ARENÁPOLIS,MT,440,457.81204545454545,512.8579545454545,498.335,464.38954545454544,500.90909090909093,486.8607272727272,1.7651909722222223
ARINOS,MG,1071,454.4402427637722,504.80522875816996,496.249766573296,456.8417366946779,490.86834733893556,480.6410644257703,1.132936507936508
ARIPUANÃ,MT,246,459.3788617886179,517.0719512195121,504.0337398373984,467.6662601626016,490.650406504065,487.760243902439,2.061320754716981
ARIQUEMES,RO,3820,465.2039267015707,520.6431151832461,508.6179057591623,473.79366492146596,502.40575916230364,494.1328743455497,1.6757874800637957
AROEIRAS,PB,820,457.06646341463414,506.545243902439,496.22902439024386,452.3081707317073,515.1219512195122,485.4541707317073,0.8335140997830802
ARRAIAS,TO,550,443.6856363636364,490.89527272727275,482.6618181818182,446.3061818181818,478.0,468.3097818181818,0.8837047353760445
ARROIO DO MEIO,RS,297,508.75387205387204,556.443771043771,537.3424242424243,541.5026936026935,597.8451178451179,548.3775757575756,3.0670903954802258
ARROIO GRANDE,RS,648,457.14490740740746,514.2737654320988,511.2836419753086,476.0473765432099,508.61265432098764,493.4724691358025,1.373404255319149
ARTUR NOGUEIRA,SP,1773,485.3534686971235,549.2414551607445,537.7586576424139,514.8503102086859,560.8042865200225,529.601635645798,2.066090757701915
ARUJÁ,SP,3077,474.3280142996425,541.2295742606434,531.986577835554,492.38573285667854,530.2794930126747,514.0418784530386,2.066488730723606
ASSARÉ,CE,1283,454.42400623538583,492.56375681995326,486.1990646921278,454.75900233826974,504.81683554169916,478.5525331254871,0.7636
ASSAÍ,PR,941,468.66493092454834,525.7153028692879,512.2706695005313,481.9402763018066,508.7566418703507,499.4695642933049,1.7886442141623489
ASSIS,SP,2909,489.6033344792025,550.8634238569955,541.9714334822963,508.24231694740456,551.8391199724991,528.5039257476795,2.2410396716826266
ASSIS CHATEAUBRIAND,PR,1247,472.90152365677625,523.7706495589415,515.254290296712,495.80256615878113,532.327987169206,508.0114033680834,2.208720514653324
ASTORGA,PR,964,471.196265560166,527.7241701244812,514.7646265560165,485.10736514522824,538.0497925311204,507.36844398340247,2.242776886035313
ATALAIA,AL,1021,448.4988246816846,494.9686581782566,485.7420176297747,444.84436826640547,506.20959843290893,476.052693437806,0.9059040590405905
ATIBAIA,SP,4397,487.88828746872866,551.4805321810325,541.1906982033205,509.77150329770296,549.223334091426,527.9108710484421,2.2907091267235717
AUGUSTINÓPOLIS,TO,1016,452.0806102362205,498.10452755905516,491.4063976377953,452.6134842519685,488.12992125984255,476.4669881889764,1.0418577981651376
AUGUSTO CORRÊA,PA,1028,454.58132295719844,499.6420233463035,483.16167315175096,444.04173151750973,497.6653696498054,475.8184241245136,0.8587744742567077
AURIFLAMA,SP,677,484.13677991137365,538.4413589364844,533.0496307237813,501.0952732644018,560.738552437223,523.4923190546529,1.9695994277539342
AURORA,CE,1081,455.65846438482885,498.818316373728,486.11766882516184,453.0361702127659,506.4569842738205,480.017520814061,0.7549151027703307
AUTAZES,AM,413,444.14939467312354,489.5094430992736,481.8518159806295,439.2888619854721,490.55690072639226,469.0712832929782,0.9703733766233766
AVARÉ,SP,1961,496.47531871494135,548.5736868944416,539.709994900561,512.301070882203,557.2463029066803,530.8612748597654,2.3045869655458695
AÇAILÂNDIA,MA,3993,464.38049085900326,520.7277736038067,507.08732782369145,467.16230904082147,515.6929626846983,495.0101728024042,1.4146032068195658
