COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA
3162906,MG,391,502.40664961636827,543.018158567775,531.790537084399,574.1245524296676,681.4322250639386,566.5544245524297,SÃO JOÃO NEPOMUCENO,1.7703549060542798
3162922,MG,133,498.06466165413536,545.0624060150376,532.0157894736842,550.8225563909774,646.7669172932331,554.5464661654136,SÃO JOAQUIM DE BICAS,2.1763959390862944
3162955,MG,245,489.98,543.2367346938776,530.0016326530612,549.7261224489796,629.6326530612245,548.5154285714286,SÃO JOSÉ DA LAPA,2.048342541436464
3163706,MG,1173,506.88115942028986,551.1635123614664,540.0941176470589,578.6108269394714,684.5524296675192,572.2604092071612,SÃO LOURENÇO,2.1079321231254933
3164209,MG,84,464.1214285714285,482.4761904761905,475.1,486.50952380952384,574.7619047619048,496.5938095238095,SÃO ROMÃO,0.8418803418803419
3164704,MG,874,505.1863844393593,544.5008009153319,534.6541189931351,573.9593821510298,688.558352402746,569.3718077803204,SÃO SEBASTIÃO DO PARAÍSO,2.1598895582329316
3167103,MG,274,477.87153284671535,516.3032846715329,504.6857664233576,523.1631386861314,610.6569343065694,526.5361313868614,SERRO,1.5100671140939597
3167202,MG,2748,520.3078238719069,560.2592430858806,543.8923216885007,592.7739446870452,708.8355167394469,585.2137700145561,SETE LAGOAS,2.2035559986706548
3168002,MG,459,487.9762527233116,528.1494553376906,517.5217864923748,549.6041394335512,658.1699346405229,548.2843137254902,TAIOBEIRAS,1.3903345724907064
3168606,MG,2131,499.61356170811825,538.3694040356639,525.3455654622243,552.5037541060535,664.1952135147818,556.0054997653683,TEÓFILO OTONI,1.6841015484335613
3168705,MG,952,528.111974789916,565.2821428571428,550.4580882352941,611.8202731092438,729.9159663865546,597.1176890756303,TIMÓTEO,2.6832386363636362
3169307,MG,847,503.7174734356553,543.5632821723731,533.4726092089728,572.4297520661157,692.7744982290437,569.1915230224321,TRÊS CORAÇÕES,2.0398166023166024
3169356,MG,274,504.13978102189776,533.6671532846715,531.391605839416,554.6894160583942,658.6131386861314,556.5002189781022,TRÊS MARIAS,2.095982142857143
3169406,MG,523,501.11453154875716,538.374378585086,527.6347992351816,562.712619502868,670.6309751434035,560.0934608030593,TRÊS PONTAS,2.0635521885521886
3169604,MG,260,485.3269230769231,519.1238461538462,507.5857692307692,535.6357692307691,636.6923076923077,536.872923076923,TUPACIGUARA,1.911149825783972
3169703,MG,474,485.39113924050633,522.1128691983122,513.2299578059071,536.9991561181434,645.5274261603375,540.6521097046414,TURMALINA,1.4159049360146252
3169901,MG,1849,514.1686316928069,551.9262844780962,533.6617090319091,588.803082747431,693.5965386695511,576.4312493239588,UBÁ,1.882033096926714
3170107,MG,4254,520.3187353079454,556.0872590503056,543.5232016925247,581.0698636577339,703.6389280677009,580.9275975552421,UBERABA,2.3681214421252372
3170206,MG,10387,518.7597285067873,558.801915856359,546.031654953307,577.8973043227111,699.0622894002119,580.1105786078751,UBERLÂNDIA,2.47135394364991
3170404,MG,991,494.0828456104944,529.7990918264379,519.6802219979818,541.8121089808275,656.0645812310797,548.2877699293642,UNAÍ,2.020223752151463
